City, X, Y
223, 51, 88
224, 68, 28
225, 76, 88
226, 95, 71
227, 89, 52
228, 75, 46
229, 97, 33
230, 78, 60
231, 1, 77
232, 4, 44
233, 28, 27
234, 7, 90
235, 19, 80
236, 73, 53
237, 76, 82
238, 32, 39
239, 82, 88
240, 52, 81
241, 31, 58
242, 45, 81
243, 58, 83
244, 9, 37
245, 41, 97
246, 39, 4
247, 71, 93
248, 45, 72
249, 13, 87
250, 71, 27
251, 11, 24
252, 48, 32
253, 3, 27
254, 73, 15
255, 74, 70
256, 3, 34
257, 35, 72
258, 59, 3
259, 76, 54
260, 3, 9
261, 2, 98
262, 41, 57
263, 14, 38
264, 5, 44
265, 29, 21
266, 56, 51
267, 97, 66
268, 74, 90
269, 8, 1
270, 92, 13
271, 64, 18
272, 10, 22
273, 7, 36
274, 69, 96
275, 77, 23
276, 56, 55
277, 82, 18
278, 91, 31
279, 60, 92
280, 76, 79
281, 91, 32
282, 27, 23
283, 1, 1
284, 76, 7
285, 41, 18
286, 6, 72
287, 68, 13
288, 22, 95
289, 44, 100
290, 100, 89
291, 42, 87
292, 75, 67
293, 9, 100
294, 32, 5
295, 92, 19
296, 60, 50
297, 17, 72
298, 81, 65
299, 70, 70
300, 61, 32
301, 68, 62
302, 50, 48
303, 46, 81
304, 20, 92
305, 66, 100
306, 92, 75
307, 54, 7
308, 31, 73
309, 79, 91
310, 69, 44
311, 57, 5
312, 20, 100
313, 98, 61
314, 24, 48
315, 60, 70
316, 81, 44
317, 49, 31
318, 76, 25
319, 44, 6
320, 58, 21
321, 56, 5
322, 44, 4
323, 4, 72
324, 15, 20
325, 89, 85
326, 70, 16
327, 13, 86
328, 34, 83
329, 23, 83
330, 5, 48
331, 80, 52
332, 13, 2
333, 91, 27
334, 59, 54
335, 26, 30
336, 88, 31
337, 24, 38
338, 70, 32
339, 79, 75
340, 67, 36
341, 39, 49
342, 67, 4
343, 79, 6
344, 86, 45
345, 11, 16
346, 100, 64
347, 48, 62
348, 61, 99
349, 76, 49
350, 15, 51
351, 77, 30
352, 20, 91
353, 15, 17
354, 59, 1
355, 63, 62
356, 36, 64
357, 100, 9
358, 99, 37
359, 6, 40
360, 45, 14
361, 16, 15
362, 89, 69
363, 76, 15
364, 78, 28
365, 82, 36
366, 66, 25
367, 44, 66
368, 57, 81
369, 44, 85
370, 0, 90
371, 37, 12
372, 19, 52
373, 17, 89
374, 3, 62
375, 61, 15
376, 93, 85
377, 55, 5
378, 9, 19
379, 95, 51
380, 73, 68
381, 72, 78
382, 12, 18
383, 15, 34
384, 70, 19
385, 58, 59
386, 54, 74
387, 3, 66
388, 12, 56
389, 32, 82
390, 57, 70
391, 98, 49
392, 37, 66
393, 9, 23
394, 38, 74
395, 58, 2
396, 37, 56
397, 37, 30
398, 23, 92
399, 43, 4
400, 5, 31
401, 88, 92
402, 94, 95
403, 41, 38
404, 65, 68
405, 89, 31
406, 0, 51
407, 90, 93
408, 56, 96
409, 56, 80
410, 40, 45
411, 51, 78
412, 74, 54
413, 7, 46
414, 13, 54
415, 75, 71
416, 16, 84
417, 21, 52
418, 93, 49
419, 56, 94
420, 29, 58
421, 51, 94
422, 35, 91
423, 36, 1
424, 20, 0
425, 67, 91
426, 51, 67
427, 25, 95
428, 1, 26
429, 16, 12
430, 61, 63
431, 52, 35
432, 59, 86
433, 25, 80
434, 79, 99
435, 25, 75
436, 42, 42
437, 91, 53
438, 63, 58
439, 4, 70
440, 84, 30
441, 56, 87
442, 94, 70
443, 81, 28
444, 45, 91
445, 14, 74
446, 62, 33
447, 71, 97
448, 95, 19
449, 5, 1
450, 98, 92
451, 10, 89
452, 51, 86
453, 74, 99
454, 45, 86
455, 85, 5
456, 87, 78
457, 15, 8
458, 35, 46
459, 26, 17
460, 85, 100
461, 44, 29
462, 0, 49
463, 92, 19
464, 4, 57
465, 27, 86
466, 80, 68
467, 2, 24
468, 10, 31
469, 27, 81
470, 44, 64
471, 39, 27
472, 25, 25
473, 15, 6
474, 0, 41
475, 17, 39
476, 10, 67
477, 100, 30
478, 96, 29
479, 53, 79
480, 59, 84
481, 98, 75
482, 25, 4
483, 35, 31
484, 41, 32
485, 57, 57
486, 66, 75
487, 48, 61
488, 66, 10
489, 37, 59
490, 90, 56
491, 40, 10
492, 6, 11
493, 28, 19
494, 69, 58
495, 12, 22
496, 45, 95
497, 12, 98
498, 0, 29
499, 89, 58
500, 2, 47
